, Proceso1, Proceso2, Proceso3, Proceso4, Proceso5, Proceso6, Proceso7, Proceso8, Proceso9, Proceso10, Proceso11, Proceso12, Proceso13, Proceso14, Proceso15, Proceso16,  Proceso 17,  Proceso 18,  Proceso 19,  Proceso 20, Proceso21, Proceso22, Proceso23, Proceso24, Proceso25, Proceso26, Proceso27, Proceso28, Proceso29, Proceso30, Proceso31, Proceso32, Proceso33, Proceso34, Proceso35, Proceso36, Proceso37, Proceso38, Proceso39, Proceso40, Proceso41, Proceso42, Proceso43, Proceso44, Proceso45, Proceso46, Proceso47, Proceso48, Proceso49, Proceso50,El sol de Puebla1,El sol de Puebla2,El sol de Puebla3,El sol de Puebla4,El sol de Puebla5,El sol de Puebla6,El sol de Puebla8,El sol de Puebla9,El sol de Puebla10,EL sol de Puebla11,El sol de Puebla12,El sol de Puebla13,El sol de Puebla14,El sol de Puebla15,El sol de Puebla16,El sol de Puebla17,El Sol de Puebla 18,El Sol de Puebla 19,El Sol de Puebla 20,El Sol de Puebla 21,El Sol de Puebla 22,El Sol de Puebla 23,El Sol de Puebla 24,El Sol de Puebla 25,El Sol de Puebla 26,El Sol de Puebla 27,El Sol de Puebla 28,El Sol de Puebla 29,El Sol de Puebla 30,El Sol de Puebla 31,El Sol de Puebla 32,El Sol de Puebla 33,El Sol de Puebla 34, El Sol de Puebla 34, El Sol de Puebla 35, El Sol de Puebla 36, El Sol de Puebla 37, El Sol de Puebla 38, El Sol de Puebla 39, El Sol de Puebla 40, El Sol de Puebla 41, El Sol de Puebla 42, El Sol de Puebla 43, El Sol de Puebla 44, El Sol de Puebla 45, El Sol de Puebla 46, El Sol de Puebla 47, El Sol de Puebla 48, El Sol de Puebla 49, El Sol de Puebla 50, El Sol de Puebla 51
 Proceso1,1.0,0.07610150875888852,0.08888846330990482,0.18602279211061065,0.08521817387375294,0.17570224230660783,0.06631243952429998,0.11395182002822467,0.061657952958373764,0.08306678783289934,0.12432730111134724,0.16738633349794116,0.0721382495396751,0.3133458087203173,0.057256167042176634,0.11286553939602437,0.24855788440081764,0.09556143172942218,0.1843802538346769,0.06857942791850424,0.13085718415686176,0.09409078110277727,0.13168635530461373,0.09107483232455744,0.05041381828039117,0.04932636236669901,0.06486194637983224,0.05781571056872649,0.08366957239914087,0.10148815029895558,0.04244802621862576,0.0675341195862312,0.09113218423976568,0.09397454785136085,0.07267898674570153,0.06590422836329204,0.08627633465727254,0.06443562986700925,0.07429719370676614,0.26433696802305817,0.09433004719211846,0.14228682270654036,0.1329114755945544,0.10157380325171707,0.03797623586176488,0.054922992281791774,0.09457898240614165,0.08170778207813176,0.04340141241344558,0.03515473297372333,0.0844195012994326,0.05785703031647268,0.04157853401662877,0.09817157933226987,0.08543576577167611,0.056764428143796834,0.057020568605501865,0.0499711787851929,0.05214498011344955,0.04457604199421743,0.044148883210122634,0.04889429831409236,0.04220801776413907,0.043017661180435755,0.13536233887491989,0.038439368296302234,0.051384931643795664,0.07673647621290636,0.05528977537790168,0.032683112831252706,0.09836081891052202,0.08553279676918435,0.10894370943750901,0.03748609172580679,0.05928042032435026,0.09931706035227364,0.033271584045681465,0.09945173011602178,0.07121016178927717,0.033930877205236375,0.09648840549510038,0.08796549397498941,0.05952591861441251,0.10823789944273272,0.11364618791324596,0.12915576763563932,0.11313783301105107,0.08756362761277352,0.08928887792161876,0.07063805915694353,0.03854257177428487,0.10299517043799958,0.15927673914727802,0.10762378580387504,0.16814296769971693,0.07769509089365212,0.08840832854452363,0.09081719437607637,0.11335676729246283,0.10787894523753161,0.06786656975713594
 Proceso2,0.07610150875888852,0.9999999999999999,0.03189195957071604,0.054410085532121524,0.036942899374194385,0.06949081840832175,0.03300957966975296,0.05272415875321526,0.08241539293012869,0.054506428100044774,0.05816393520205064,0.03196253289192704,0.042761917078240536,0.056826879588124574,0.09183807008915396,0.04937310140074748,0.05633568070226712,0.029303369744890916,0.08984605992428624,0.04400016720095304,0.031155998879517758,0.025872044969792764,0.037718397089689625,0.05843308950960249,0.0642147677650367,0.023076310020436034,0.04421599316417494,0.06955167740560156,0.054114835946627624,0.10544063148889007,0.03404301238101354,0.047173249643929924,0.0386933070236769,0.04575848284942032,0.020274095915956525,0.039641038618214386,0.04005910595575333,0.05617055728654617,0.0650027085026159,0.07528842380050951,0.06619551824230822,0.05705650531435534,0.04885560603507205,0.04654940641157278,0.043509526583596594,0.029365230421179923,0.03337473264550012,0.05679184750719312,0.04786047924195625,0.06696037841230815,0.05973867720853087,0.030933948718807606,0.059281219333853795,0.02624430068478783,0.04048842376253596,0.019510570275964215,0.02286504339461812,0.036993716996579475,0.025091939886207577,0.035749665760427235,0.035407087481270014,0.03921287633716278,0.022567018215358683,0.04024983145418367,0.05272896037052437,0.012331238998859828,0.02197885140933057,0.02564254299615559,0.022171001521237528,0.026211621926396825,0.04382481713220186,0.052264144111520396,0.030580225580796296,0.012526490220503004,0.038486762763447924,0.045799652526540335,0.0350221877472529,0.02363246630974389,0.040312968483508245,0.035376015998985606,0.050596582622632204,0.020156484241754122,0.021482711782052428,0.04069032118955842,0.0405081898116411,0.03214613752834743,0.04536786504652873,0.03121128929235878,0.03341755166097044,0.03722794225813882,0.0343454066064533,0.053870470110394184,0.05644272632319809,0.033197501464157154,0.05262417691536016,0.046733178963619004,0.03545142249635757,0.03277563214561635,0.06293860187225168,0.04498943271749728,0.03842011896840275
 Proceso3,0.08888846330990482,0.03189195957071604,1.0,0.15850320229914605,0.1387620532782862,0.11878388721007699,0.06741665546618009,0.03932677362168026,0.07640261185475704,0.09680038658279579,0.07747193692092108,0.12260955266336478,0.034174254520381656,0.11706880015509791,0.07339468845947568,0.08768388369921466,0.0969706056020307,0.0882698066502443,0.1166794261133855,0.13010618227007648,0.06028201946418002,0.05858282506537487,0.1356461977484408,0.11090837591405905,0.06652441727911888,0.09879648084666863,0.09145869960711629,0.05558396087877885,0.029408111849565696,0.14931257972044568,0.11659853131406855,0.04328481911621153,0.06871716251859207,0.07959142896807654,0.06379754195522626,0.0704002811511242,0.03783500556373033,0.06823295866225597,0.030303314250634587,0.11558709559398649,0.05668050259655799,0.09326890613162553,0.06743994435807105,0.031000934382243637,0.017385862668511606,0.03520193645528958,0.055769253187413347,0.020947672609386167,0.020863035202213928,0.02816476817883488,0.0700210963099064,0.030902047577249965,0.029610042302461566,0.020973788655694874,0.02986830971963965,0.036382172737177004,0.04020097566127839,0.07391113323935744,0.06015855218879185,0.044896089331344244,0.04446586363001625,0.045801619132348946,0.07213998594559631,0.10109521250623205,0.04461847010769362,0.049274088826238294,0.03073865950207956,0.04713362161437426,0.017718509850066698,0.05760609967581195,0.03735861083420936,0.09528369868794402,0.05586046029169644,0.022023886847037998,0.09408224838818245,0.06683831920491065,0.02665605374643784,0.025968904435733936,0.03758663540250841,0.034795848765783906,0.03567840287127011,0.016108558029646457,0.07821180913087358,0.045526161664484685,0.02427984904623306,0.03139936437949887,0.02307254915240141,0.020786068092526425,0.041967312216566306,0.04010003688036722,0.04117198481165101,0.031571416979092236,0.06884846510586712,0.034489796636605514,0.03154194442231098,0.07113902416298018,0.02060501098818041,0.04074539060709421,0.022355091700494795,0.0497830559568664,0.038380497591092855
 Proceso4,0.18602279211061065,0.054410085532121524,0.15850320229914605,0.9999999999999997,0.17263876009786427,0.07649412993389781,0.0987250356990622,0.07358744855348046,0.07887613417032122,0.09056544450027731,0.17188575791357297,0.28518736055410765,0.0507807748865159,0.18317674575980034,0.14806389678123968,0.14766504896845578,0.19116990285745863,0.17191022087506322,0.17354287908476088,0.17765416777602555,0.09685955819455033,0.11606715030020477,0.09870714408937883,0.12287929024602648,0.07468747140821166,0.27236915080689045,0.07389947848492986,0.1015311918696013,0.0550278529991562,0.17703960262579094,0.10908838476079907,0.0888317580324272,0.14786945953809208,0.14691727663378318,0.05684602194727822,0.11526511118217114,0.04628974651040198,0.10751672122006375,0.07492888141658867,0.2829471276820594,0.0671709461597721,0.10859199900218576,0.07305866203336457,0.055107894220192646,0.029278861222790567,0.05489094852627428,0.08393713629291648,0.062061684554604576,0.03253206802532285,0.05533640063597905,0.06848878985924359,0.04625861980265707,0.030473135606238967,0.04204898701145733,0.08383344865830983,0.046195495316828185,0.041030856763002964,0.06684547836967968,0.06462205084776922,0.08400863736509087,0.08320360789668298,0.09021373270752522,0.06538425808686402,0.0773866140473538,0.08812744877099035,0.03688026392809913,0.055463348269290405,0.09203004696348419,0.044995407212914076,0.05226247120387753,0.07645822504197201,0.08304052590737272,0.10615814463287623,0.07680165344363363,0.06940226305106187,0.12208871235778207,0.03117391161068054,0.0861412126738093,0.10800884014638719,0.032554637656764494,0.057859266722833216,0.03014200190131735,0.10172993382393875,0.10344210481927041,0.05047994810987072,0.05074195592920289,0.07709442609193005,0.09334670966517455,0.08209784133159964,0.12949478746749749,0.06676814708665102,0.053705259079151545,0.06663508418527483,0.07198312728363823,0.0713166024931306,0.059901244353121136,0.038555672037146944,0.04628974651040197,0.04183038700921057,0.04657651431442832,0.057453437072895686
 Proceso5,0.08521817387375294,0.036942899374194385,0.1387620532782862,0.17263876009786427,1.0,0.09872993766139958,0.07070891115419786,0.05255119320221706,0.04150485375764602,0.138201829363923,0.10025427468513877,0.29342597613815363,0.08313197847199784,0.13514213765913988,0.05645772312274022,0.09065208018693363,0.09547920752586625,0.10997057164719276,0.10604760773287636,0.13676091660177572,0.08387103756176688,0.06616444880036719,0.12465597478957818,0.07471757960415171,0.06924420868994913,0.12321753459301166,0.08391215994372819,0.08600284817086823,0.054505069313640395,0.06695785841643613,0.07270999656345574,0.06324124959746355,0.05074522464798291,0.0741312494672384,0.052845494259028895,0.08664691496170719,0.05731247233330617,0.0636475667499418,0.07672436319042826,0.20267423442135188,0.06697051466046118,0.08367137850063129,0.05591808408913988,0.027471728840934614,0.017118469864524272,0.04236287518706508,0.052524070003918795,0.030938249294798707,0.037660633701953404,0.030504756591820587,0.07207800526856067,0.07606694305157188,0.04081649999824363,0.05310312149322477,0.022056703609794222,0.035822618611573286,0.0575748199769199,0.03638719375433487,0.07459010636370922,0.03817755675515763,0.03781171272788041,0.028482438869571837,0.07768958780690385,0.08144212777718424,0.07077972413110074,0.06064532292389145,0.03458960232854651,0.026231010732414337,0.017446000966175223,0.034375832549776345,0.036784039189736224,0.0796812492366644,0.08765837300192968,0.023656540038248852,0.0694764547147001,0.0971486157967557,0.035432216564621574,0.05346351112394005,0.07666058186685372,0.062097504507234176,0.03747165083179116,0.031721620082836015,0.09203505006398363,0.10886307951239246,0.047812854862349055,0.05902230474174403,0.09736155294525158,0.13712474917633632,0.07137412045778323,0.10571335798899291,0.08918528049702582,0.05086775747287714,0.063114439063141,0.06791869412688133,0.04399717939927093,0.08755614148580917,0.03804020251805628,0.04298435424997962,0.03851972715174605,0.04901739760690863,0.03779020943197272
 Proceso6,0.17570224230660783,0.06949081840832175,0.11878388721007699,0.07649412993389781,0.09872993766139958,0.9999999999999999,0.0527800817205194,0.05202659817144719,0.08674667315098074,0.1494035761667992,0.09793489625751076,0.11214100082024311,0.10135352331138282,0.0924199707892733,0.08259910463055868,0.11503304191666296,0.06770618128448083,0.1056534281362067,0.07849870641173372,0.06331795798174668,0.14832531816002573,0.09750945424167601,0.08994680700518551,0.09309687114520777,0.10952006778512008,0.09216834022291708,0.07913465474858855,0.08442761721488591,0.08721816442582704,0.074535599249993,0.03799164275778883,0.054594658279875224,0.07070625911554956,0.1018157704247817,0.07293803836367194,0.11952286093343936,0.08384962476441059,0.06097013950210627,0.09131425765341167,0.1824723881210722,0.07776157913597392,0.09170340622484884,0.09495757004776968,0.06060675435278376,0.03220040930558189,0.04426998477149372,0.05987849508520959,0.0718467562348404,0.05008952558646072,0.03187803244739062,0.07532284297296986,0.04133550533884438,0.0578875635835253,0.0616597110728281,0.10756508696544756,0.056152944296387106,0.04888548212981341,0.048165364318172865,0.03209624965770568,0.03779644730092272,0.03743425533075499,0.05456856750111651,0.04639260004261474,0.05437488998475319,0.09692111656561633,0.11407586285883047,0.06777519651234921,0.07380124046167462,0.05208969232649949,0.04310805374090425,0.04804999801042981,0.049692416114898455,0.09519695201116352,0.03296202669955631,0.052126074165980536,0.0982471864864824,0.03565593668814288,0.07044522866270397,0.04143709650823724,0.04699150873024273,0.09055418211310347,0.07458677371482703,0.03140516647671387,0.12045591850437133,0.11658573244487827,0.13510724722962958,0.12209353913347196,0.14329788832852522,0.10991808266849853,0.09183850621874137,0.09037601033017627,0.059064159328194504,0.09771222400810992,0.0982748578534546,0.14334274864330684,0.05123875701407021,0.06890470118361286,0.08684425422028239,0.1092603802292061,0.10529394891755373,0.07371740103879548
 Proceso7,0.06631243952429998,0.03300957966975296,0.06741665546618009,0.0987250356990622,0.07070891115419786,0.0527800817205194,0.9999999999999998,0.0356975853406849,0.05150808560128441,0.09462639551305806,0.07789580614859955,0.10820326702172689,0.029476546033062975,0.13811677190316818,0.047083544918380286,0.05357164723165943,0.12187644643179585,0.3944566837649592,0.036557365935585576,0.034374106251288034,0.03330722990559488,0.06568878160556423,0.22689297090991725,0.042796397615534096,0.0297281732283538,0.15709966108391746,0.042670412968703074,0.27685296543456783,0.015219344061984356,0.19364889769469518,0.07788626752506425,0.055961967574488056,0.12091298115037798,0.02523370547014881,0.039596663575223824,0.034409598368384746,0.01991515521285215,0.03159499691879316,0.040202300038265984,0.09906076344104768,0.025856853759534035,0.010130469644506411,0.024288284872884876,0.03030470002947194,0.027192643753324565,0.0191174188418639,0.035554408468864665,0.027302959191089608,0.03059172422249013,0.02753222985266147,0.09956149500609887,0.021145623851356897,0.023156036234831198,0.0087868923910762,0.03163063844744755,0.020322905066133153,0.044656957068897836,0.09633493382444536,0.017424438992803524,0.1895154598423606,0.18769939027288352,0.02592120106872547,0.04848238338523623,0.013476104469107334,0.048462673763152574,0.031308853492944745,0.08370602160677763,0.02604243164624102,0.017320578772072937,0.034128698988862005,0.02282474539495151,0.024242899079312517,0.03924800383719131,0.08611705391238794,0.04952193217650553,0.03577991226781678,0.014331569382304841,0.039232417491216774,0.01837124805571281,0.08716186500776674,0.01627598915243551,0.01049785603183589,0.06899623690976611,0.0423844881492063,0.03428325356422915,0.008371140514999358,0.06766312321662685,0.05892580838535186,0.0447543158333618,0.03414145677639682,0.04829678875936222,0.008417010121458887,0.03481149938563174,0.020747820114311036,0.020555706531905946,0.03998627549780827,0.007553345038751884,0.014225110866322962,0.008194886238286212,0.016221667802238524,0.03251605876950538
 Proceso8,0.11395182002822467,0.05272415875321526,0.03932677362168026,0.07358744855348046,0.05255119320221706,0.05202659817144719,0.0356975853406849,1.0000000000000002,0.04442616583193193,0.06347917188462601,0.07879816195062793,0.08614730429479202,0.060263760349505396,0.05105438613135435,0.0515682051112248,0.05750080677718348,0.04866642633922875,0.06412919859591348,0.05044966692040895,0.0527074873112466,0.04665193680149884,0.03873992329771807,0.07342172431423766,0.04921634691672829,0.04985711988570339,0.03948992518393949,0.09736401414961877,0.04463328194692459,0.035653077380122036,0.06647714865681267,0.03276954834022554,0.03400974549022937,0.06437560729619116,0.05642593056411202,0.03984453914028377,0.07914286364836491,0.05453013418055771,0.0672863110252489,0.06894410398057409,0.06526724609734573,0.049559462778335214,0.038833853332898134,0.04655300916738573,0.02904229313988845,0.03908981430427822,0.05862733440486594,0.054517302050910564,0.04578979337776151,0.045604783354991255,0.03693944256690937,0.07752391454091312,0.06368923882261078,0.022191422176620203,0.06175294146855605,0.06062599353230455,0.048690777817529826,0.06847468210114173,0.06462532773841267,0.0500957605125571,0.034412360080584264,0.03408259679895955,0.022583089249096095,0.0506866323714614,0.021524547677145456,0.018577543105900634,0.013848284515374145,0.03702418560685805,0.03839627482053894,0.023712933051019673,0.03597769479681261,0.04812265031857877,0.03912927904356146,0.03597769479681262,0.056270225747345214,0.040679134723327855,0.08050560356171747,0.017480345660486157,0.10615936234390963,0.04527245455793627,0.05704552798416247,0.04456565178215864,0.015090818185978756,0.04646414434000534,0.05280453351068114,0.020218530181445118,0.021393127492027906,0.04940531166532118,0.04673472679181701,0.05003830928923653,0.06301479716427034,0.030856588702974832,0.02151035098591617,0.031137262016313765,0.089475864448211,0.04924853687848355,0.03665445055216247,0.024128981157907955,0.027265067090278854,0.036649716975523355,0.025909866075357557,0.05273490202872151
 Proceso9,0.061657952958373764,0.08241539293012869,0.07640261185475704,0.07887613417032122,0.04150485375764602,0.08674667315098074,0.05150808560128441,0.04442616583193193,1.0,0.10206207261596573,0.07001400420140048,0.05685667440301786,0.05652052045323964,0.06739114201840092,0.06851720139927887,0.05007710104811096,0.07302967433402216,0.12662286273293105,0.12091872375966475,0.05252319984133792,0.05296559295184055,0.1483622856505217,0.1218313308480479,0.06667455761380522,0.1302607826091329,0.11574074074074076,0.09131631881644124,0.09767547513254081,0.030398647509143485,0.13248943335756677,0.06829798120298028,0.05152633458352488,0.04226387410012941,0.0831616887981943,0.05694418956786427,0.08041254206106394,0.03580012402937925,0.08203893161346494,0.030429030972509232,0.0667780563294178,0.03320079470373316,0.06920126156775022,0.04366140266629866,0.03813369294353578,0.036661778755338326,0.041239304942116126,0.051130999256491366,0.04908067825548735,0.024441185836892216,0.034644975803462416,0.05033670414105182,0.09231498843056887,0.031219527052723135,0.02632600098360681,0.048112522432468816,0.031966469753819476,0.022477499358210064,0.03896432500995983,0.046984098573493956,0.025102669836529555,0.02486211851242824,0.050832856777534886,0.031692179236101896,0.044412645118555014,0.030491321786876805,0.07792865001991967,0.04629927345435193,0.06482037235521644,0.022240021361817658,0.04908067825548735,0.02872134789517764,0.05275451374563811,0.04908067825548735,0.04573836918308115,0.03815237968582578,0.04194725345087652,0.016394566630147493,0.0539312314221001,0.056613851707229795,0.08025327939615966,0.029258241983571954,0.01887128390240993,0.026817266223637663,0.1333355102573942,0.08533201859828614,0.0802572353905128,0.0868810058571145,0.08035836055846826,0.06704316555909415,0.08637791488508033,0.14952309571141842,0.055479190494640215,0.07509392614826382,0.07459389851526124,0.041570549660527,0.05312915087706224,0.03620836310623789,0.05114303432768465,0.07856742013183864,0.043740888263985325,0.08992602131417095
 Proceso10,0.08306678783289934,0.054506428100044774,0.09680038658279579,0.09056544450027731,0.138201829363923,0.1494035761667992,0.09462639551305806,0.06347917188462601,0.10206207261596573,1.0,0.1357697132378195,0.08246240571253921,0.038938059873837375,0.0553866412339105,0.05923488777590923,0.07076731463403722,0.05590169943749474,0.5292128946641302,0.11107094008489929,0.09649127945213123,0.05922852629946111,0.07787397791074734,0.6227991553292184,0.07537783614444091,0.10431214740568591,0.08079914082097288,0.08052421906425285,0.13671718540493266,0.027922940725548143,0.09545044354015156,0.06273570165356195,0.054091383448096414,0.08873565094161139,0.06250000000000001,0.035960772441408474,0.11363636363636365,0.056373452100212176,0.057967361970021045,0.0489139870078079,0.15334890377053706,0.08539125638299666,0.06021986935187128,0.06875238727711584,0.05004004806408973,0.06735198826004059,0.0757614408414158,0.039139018192821846,0.06762522260005742,0.06735198826004059,0.05455447255899809,0.030824810119754492,0.02992825816753583,0.038235955645093626,0.05803674244006026,0.02410591299499594,0.04194725345087652,0.017697344181862827,0.07158203583477499,0.03596470860302725,0.01976423537605237,0.01957484066144552,0.023346480238675887,0.036388906858723875,0.044504312182269495,0.032009219983223994,0.06362847629757777,0.028352398856187136,0.03969420930187224,0.024514516892273002,0.03944804651670016,0.03768891807222045,0.02528249484237158,0.03944804651670016,0.019390788374813218,0.040886064932649804,0.04623721517963174,0.017210709770537857,0.030485538042484616,0.05200314339611524,0.04914489617640141,0.03071475584169756,0.026001571698057616,0.036949847931160996,0.04199193832168908,0.02612748803593566,0.027645366779043213,0.08512565307587484,0.07381386747556512,0.04926646390821466,0.04175956904881631,0.05316609037562519,0.027796849374791294,0.02299272523068622,0.03425943549137658,0.0254566587488299,0.051672961369645345,0.024944628946415224,0.028186726050106085,0.027063293868263713,0.026785714285714284,0.03304093002275449
